name,surname,level
Michelle,Brown,intermediate
James,Chambers,expert
Jon,Bond,intermediate
Kimberly,Carpenter,intermediate
Paul,Pollard,expert
Peggy,Johnson,intermediate
Zachary,Gutierrez,intermediate
Phillip,Barton,expert
Erin,Moreno,expert
Jason,Brown,expert
Melissa,King,beginner
Emily,Vincent,expert
Roberto,Carlson,intermediate
Karen,Miranda,intermediate
Tina,Stephenson,expert
Mackenzie,Torres,intermediate
Mary,Madden,beginner
Larry,Davis,intermediate
Allen,Johnson,intermediate
Daniel,Bennett,intermediate
Patrick,Bishop,expert
Victor,Ashley,beginner
Bryan,Chang,beginner
Arthur,Jones,expert
April,Wright,beginner
Mathew,Rivera,intermediate
William,Green,intermediate
Mary,Torres,expert
Patricia,Brown,intermediate
Debra,Anderson,intermediate
Felicia,Hampton,expert
Michael,Gonzalez,beginner
Heidi,Jones,intermediate
Nicole,Bowers,beginner
James,Johnson,intermediate
Audrey,Turner,expert
Amanda,Lee,intermediate
Donna,Rhodes,beginner
Joshua,Watson,beginner
Jay,Davis,intermediate
Paul,Eaton,expert
Aaron,Gardner,expert
Sara,Lopez,intermediate
Jason,Chung,intermediate
Steven,Brown,intermediate
Ariel,Miller,expert
Sheila,Costa,intermediate
Kurt,Moore,intermediate
Manuel,Garrett,beginner
Nancy,Jones,beginner
Amanda,Harris,expert
Kathleen,Tate,expert
Michael,Matthews,expert
Mikayla,Harrell,expert
Austin,Wiggins,beginner
Kristin,Santiago,beginner
Sean,Myers,beginner
Lee,Banks,expert
William,Phillips,expert
Diana,Bailey,intermediate
Linda,Lozano,expert
Shelia,Bradley,expert
Jesse,Richards,expert
Theresa,Newman,expert
Lisa,Higgins,expert
Timothy,Cohen,intermediate
Julie,Butler,expert
Mary,Jones,beginner
Mitchell,Brown,intermediate
Christine,Bennett,beginner
Cindy,Pope,expert
Crystal,Gaines,expert
Jennifer,Medina,expert
Derek,Franco,beginner
Kari,Farmer,intermediate
Ellen,Bell,expert
Antonio,Brown,intermediate
Daniel,Gomez,beginner
Ashley,Martinez,beginner
Dawn,Carpenter,beginner
Cody,Hubbard,beginner
Andrew,Baird,expert
Mark,Ward,intermediate
Stephen,Perkins,intermediate
Brian,Charles,expert
Brianna,Stout,beginner
Sandra,Maxwell,beginner
Tammy,Lee,intermediate
Jared,Montgomery,expert
Andrea,Summers,expert
Ashley,Stone,beginner
Joshua,Rodriguez,beginner
Rachel,Sheppard,expert
Alex,Robertson,beginner
William,Cowan,intermediate
Sharon,Campbell,beginner
Tiffany,Elliott,intermediate
Patrick,Hanson,expert
Dalton,Ross,expert
Jennifer,Bell,beginner
Chase,Rojas,beginner
Grace,Nelson,beginner
Holly,Yates,expert
Joshua,Reed,beginner
Raymond,White,expert
Renee,Soto,expert
Martin,Dunn,beginner
Travis,Callahan,beginner
Daniel,Cervantes,beginner
Linda,Young,expert
Mark,Martin,expert
Elizabeth,Spencer,beginner
Ryan,Hughes,intermediate
Claire,Love,beginner
Karen,Tanner,beginner
Danielle,Owens,intermediate
Daniel,Osborne,intermediate
Donna,Clayton,intermediate
Kristine,Gates,beginner
Lisa,Gilbert,expert
Matthew,Jenkins,beginner
Ashley,Gibson,intermediate
Jason,Jackson,intermediate
Sara,Bolton,expert
Martha,Hunt,beginner
William,Jones,beginner
Monica,Wiggins,beginner
Lindsey,Evans,intermediate
Lauren,Pacheco,intermediate
James,Ibarra,beginner
Jonathon,Miller,beginner
Victoria,Johnson,beginner
Jennifer,Jones,intermediate
Keith,Tran,expert
Alejandro,Perez,intermediate
Marie,Patterson,intermediate
Keith,Merritt,intermediate
Charles,Williams,expert
Sabrina,Archer,intermediate
James,Randolph,intermediate
Eric,Greer,intermediate
Elaine,Rodriguez,beginner
Sabrina,Moore,expert
Matthew,Wright,expert
William,Ward,beginner
Kimberly,Mckenzie,expert
Erin,Owens,beginner
Sheila,Bell,expert
Elijah,Booth,expert
Evan,Gomez,expert
Alicia,Daniels,intermediate
Steven,Baker,beginner
Leah,Russell,expert
Sara,Clark,beginner
Karen,Bowers,beginner
Jackson,Neal,intermediate
Jeffrey,Manning,expert
Michael,Weeks,beginner
Melissa,Fox,expert
Tamara,Harris,expert
Denise,Greer,beginner
Melissa,Juarez,beginner
Stephanie,Brandt,expert
Jason,Reynolds,intermediate
Adam,Powell,expert
Michael,Edwards,beginner
Robert,Wong,intermediate
Angela,Castaneda,beginner
Annette,Rivera,intermediate
Linda,Roberts,intermediate
Thomas,Vega,expert
Monique,Gutierrez,expert
Sean,Montgomery,beginner
Nicole,Kim,beginner
Jennifer,Shannon,expert
Kristin,Nixon,beginner
Ann,Davenport,expert
Melissa,Malone,beginner
Barry,Kirk,beginner
David,Johnson,intermediate
Mason,Keller,expert
Patrick,Robinson,intermediate
Benjamin,Mcconnell,beginner
Maria,Shaw,intermediate
Aaron,Hancock,expert
Jennifer,Frank,beginner
Lacey,Evans,beginner
Dustin,Davis,beginner
Ashley,Miles,intermediate
Carla,Berry,expert
Gregory,Burns,intermediate
Matthew,Little,intermediate
Carlos,Taylor,expert
Joshua,Clayton,expert
Lisa,Williams,intermediate
William,Erickson,intermediate
Jeffrey,Huffman,expert
Anthony,Jackson,expert
Paul,Ewing,expert
Brandy,Kim,beginner
Christine,Nolan,beginner
Brittany,Hester,expert
Eric,Hodge,intermediate
Scott,Casey,beginner
Manuel,Davis,expert
Raymond,Anderson,beginner
Louis,Young,intermediate
Ashley,Moore,intermediate
Evan,Dixon,expert
Eugene,Miller,intermediate
Anne,Thompson,expert
Todd,Olson,intermediate
Nicholas,Cardenas,beginner
Kathleen,Brown,beginner
James,Hill,intermediate
Daniel,Leblanc,intermediate
Carla,Cabrera,intermediate
Rebecca,Mcdaniel,expert
Hunter,Carter,expert
Christopher,Kim,expert
Kimberly,Hernandez,beginner
Kayla,Phillips,intermediate
Andrea,Harris,intermediate
Steven,Massey,beginner
Lauren,Francis,expert
Paul,Watts,beginner
Cassidy,Mcneil,intermediate
Brandy,Taylor,expert
Bruce,Martin,intermediate
Colin,Lowe,beginner
John,Jones,expert
Nicholas,Wallace,expert
Hannah,Richardson,beginner
Traci,Krueger,intermediate
Jessica,Bell,expert
Rodney,Reynolds,beginner
Samantha,Choi,beginner
Andre,Serrano,expert
Jessica,Ferguson,beginner
Laura,Ross,intermediate
Crystal,Ross,beginner
Allison,Smith,beginner
Joshua,Jackson,intermediate
Timothy,Grant,beginner
George,Schmitt,intermediate
Angela,Anderson,beginner
Crystal,West,expert
Jessica,Maynard,intermediate
Connie,Mcdaniel,intermediate
David,Gonzales,expert
Jose,Fisher,expert
Shannon,Williams,expert
Lisa,Ramirez,expert
Teresa,Galloway,beginner
Rebecca,Brown,intermediate
Amanda,Ballard,beginner
Crystal,Conley,intermediate
Daniel,West,intermediate
Melissa,George,intermediate
Megan,Moore,beginner
Jeffrey,Cruz,intermediate
Rachel,Murphy,intermediate
Casey,Myers,intermediate
Kevin,Perry,expert
Paige,Green,beginner
Christopher,Phillips,beginner
Michael,Alvarado,intermediate
Susan,Robinson,beginner
Taylor,Lucero,intermediate
Theresa,Hanson,intermediate
Crystal,Daniels,beginner
Veronica,Landry,beginner
Alexander,Holmes,expert
Ashley,Graves,beginner
Michael,Sellers,beginner
Billy,Bailey,beginner
Amy,Waller,beginner
Michael,Jackson,intermediate
Eric,Ramos,intermediate
Natasha,Miller,intermediate
Jason,Gilbert,expert
Michelle,Ponce,intermediate
Tina,Anderson,expert
Linda,Lewis,intermediate
Cassandra,Phelps,intermediate
Bernard,Johnson,expert
Cory,Maxwell,intermediate
Laurie,Johns,beginner
Anthony,Hardy,intermediate
Brandon,Holt,expert
Brian,York,intermediate
Steven,Bowman,intermediate
Joshua,Hernandez,expert
Jacob,King,expert
Brandon,Ellis,beginner
Sherry,Stevens,expert
Dennis,Martinez,intermediate
Jennifer,Benjamin,beginner
Jennifer,Chaney,expert
Bonnie,Carlson,beginner
Barbara,Benton,intermediate
Justin,Grant,expert
Thomas,Peters,intermediate
Timothy,Bush,intermediate
Steve,Flynn,beginner
John,Ashley,beginner
Beverly,Alvarez,intermediate
Tiffany,Hernandez,expert
Paul,Parsons,intermediate
Mario,Randall,intermediate
Richard,Bentley,expert
Julie,Sandoval,expert
Hannah,Nichols,intermediate
Dawn,Fry,intermediate
Clinton,Ramirez,expert
John,Shah,intermediate
Pamela,Sandoval,expert
Deborah,Stewart,beginner
Sharon,Ramos,beginner
Tamara,Rowe,intermediate
Kevin,Stone,intermediate
Scott,Young,expert
William,Cameron,expert
Heather,Perez,expert
Krystal,Kelley,expert
Matthew,Atkinson,beginner
Seth,Phillips,expert
Chad,Dean,beginner
Brittany,Larsen,intermediate
Jose,Fowler,beginner
Craig,Hoover,beginner
Scott,Robinson,beginner
Yvette,Smith,beginner
Cheryl,Wilkerson,intermediate
Dawn,Gilbert,beginner
Colleen,Lopez,expert
Robert,Diaz,beginner
Laura,Ramirez,intermediate
Rachel,Mckee,beginner
Thomas,Hopkins,intermediate
Lisa,Velasquez,expert
Amy,Austin,intermediate
Christopher,Rivera,expert
John,Schmitt,intermediate
Jeffrey,Smith,expert
Calvin,Salazar,expert
Leah,Hill,expert
Mike,Carpenter,expert
Charles,Hicks,beginner
Judy,Lewis,expert
Sarah,Thomas,intermediate
Denise,Clay,intermediate
Kathy,Wolf,intermediate
Mark,Henderson,intermediate
Linda,Torres,intermediate
Stephanie,Ramirez,intermediate
Gina,Gay,beginner
Andrew,Bass,beginner
Martin,Espinoza,intermediate
Amy,Molina,intermediate
Jocelyn,Brock,intermediate
Regina,Garcia,intermediate
Mary,Kelley,expert
Luis,Hill,expert
Heather,Bennett,expert
Kristen,Schneider,beginner
Stephen,Hernandez,intermediate
Johnathan,Harris,beginner
Andrew,Martinez,beginner
Kendra,Moore,expert
Taylor,Freeman,intermediate
Bethany,Martin,beginner
Destiny,Lewis,expert
Brittany,Carter,expert
Peter,Anderson,intermediate
Michael,Richards,intermediate
Robert,Norton,beginner
Mark,Lane,beginner
Emily,Hale,expert
Timothy,Garrett,beginner
Cassandra,Herrera,expert
Victoria,Dominguez,beginner
Tiffany,Clark,beginner
Brandon,Camacho,beginner
Amanda,Jenkins,intermediate
Kathy,Mcknight,intermediate
Alexander,Smith,intermediate
James,Reed,beginner
Jose,Jones,intermediate
Diane,Edwards,intermediate
Sean,Cooper,beginner
Andrew,Fitzpatrick,expert
Zachary,Washington,beginner
Andre,Ramsey,intermediate
Nicole,Hall,intermediate
James,Huffman,expert
Amanda,Faulkner,beginner
Brandi,Pearson,beginner
Michael,Adams,beginner
Alison,Jones,beginner
Raymond,Conway,beginner
Lauren,Hudson,beginner
Courtney,Price,intermediate
Kathryn,Blair,intermediate
Heather,Cooper,expert
Shirley,Johnson,beginner
Christina,Bryant,intermediate
Samantha,Burke,expert
Frank,Vega,intermediate
Daniel,Martin,intermediate
Jennifer,Taylor,expert
Adam,Smith,expert
Luis,Bond,intermediate
Maria,Smith,beginner
Scott,Larson,expert
Brittney,Harrington,expert
David,Martinez,intermediate
Lisa,Russell,expert
Dawn,Reyes,intermediate
Erika,Burton,beginner
Jillian,Rogers,expert
Valerie,Potter,beginner
Troy,Shaffer,expert
Amy,Morgan,intermediate
Casey,Schneider,intermediate
James,Clark,intermediate
Robin,Golden,beginner
Kyle,Thomas,expert
Tara,Davis,expert
Mercedes,Williams,beginner
Mark,Murray,intermediate
Ronald,Lindsey,beginner
Jessica,Johnson,expert
Tracy,Rose,beginner
Jessica,Armstrong,expert
Misty,Lawrence,intermediate
Jesse,Cowan,intermediate
Julie,Yu,beginner
Andrea,Foster,beginner
Austin,Solis,intermediate
Kara,Mitchell,expert
Eric,Mcfarland,intermediate
Crystal,Banks,beginner
Madeline,Williams,expert
Sandra,Stone,expert
Jose,Caldwell,intermediate
Angela,Clark,beginner
Jeffery,Phillips,intermediate
Christopher,Cruz,intermediate
Amy,White,expert
John,Hill,intermediate
Sabrina,Gutierrez,beginner
Charles,Rodriguez,beginner
Cindy,Alvarado,intermediate
Jesse,Morris,beginner
James,Wood,intermediate
Brooke,Daniels,beginner
Curtis,Diaz,expert
Michael,Gomez,expert
Jeffrey,Crane,intermediate
Devin,Fisher,expert
Michelle,Ellis,intermediate
Tracy,Martinez,intermediate
Mary,Walker,beginner
Melissa,Yang,intermediate
Bobby,Bonilla,beginner
Jonathan,Gibson,expert
Timothy,Vance,expert
Michael,Escobar,beginner
Michael,Rodgers,beginner
Logan,Davis,intermediate
Maurice,Bentley,expert
Patrick,Martin,intermediate
Chad,Meyer,intermediate
Mckenzie,Green,beginner
Kevin,York,beginner
William,Vazquez,intermediate
Andrea,Wells,intermediate
Francisco,Frost,beginner
John,Thompson,expert
Christopher,Lopez,expert
Matthew,Stewart,intermediate
Lauren,Robinson,beginner
Allison,Gardner,beginner
David,Gonzalez,intermediate
Angela,Austin,intermediate
Jason,Lane,expert
Tammy,Rodriguez,beginner
Jill,Perez,expert
Lindsey,Ferrell,intermediate
Cheryl,Garcia,intermediate
Timothy,Russell,expert
Rachel,Rivas,expert
Christina,Patel,expert
Julie,Fitzpatrick,beginner
Laura,Brown,intermediate
Belinda,Stafford,expert
Shelly,Morales,expert
Charles,Garcia,expert
Lisa,Gutierrez,expert
Tyler,Nielsen,beginner
Dana,Stevens,expert
Marcia,Patterson,beginner
Mark,Hickman,intermediate
Don,Goodwin,expert
Justin,Johns,beginner
Janice,Forbes,beginner
Jesse,Massey,beginner
Angela,Taylor,beginner
David,Hahn,beginner
Dorothy,Mcclure,expert
Paul,Morales,intermediate
Leah,Hamilton,intermediate
Alexander,Hernandez,intermediate
Lori,Ellison,intermediate
Rebecca,Dawson,beginner
James,Salazar,intermediate
Laura,Robertson,intermediate
Russell,Burnett,beginner
Cassandra,Howell,intermediate
Matthew,Frye,intermediate
Megan,Walker,intermediate
Cameron,Cochran,beginner
Nancy,Haas,beginner
Laurie,Clark,intermediate
Jeffrey,Kent,beginner
Brandon,Morton,expert
Deborah,Thompson,beginner
Anthony,Brown,expert
Michelle,Webster,expert
Erika,Patel,expert
Joan,Ramirez,beginner
Elizabeth,Smith,intermediate
Julie,Dixon,expert
Frank,Austin,expert
Richard,Johnson,beginner
Pamela,Massey,beginner
Lisa,Miller,expert
Kevin,Briggs,intermediate
Patricia,Williams,intermediate
Diana,Mahoney,expert
Heather,Griffin,beginner
Adam,Bennett,expert
Sergio,Hayes,intermediate
David,Crawford,expert
Brenda,Williams,expert
Calvin,Castillo,beginner
Lance,Stevens,expert
Martha,Ward,beginner
Frederick,Hill,expert
Peter,Hampton,expert
Patricia,Robles,expert
Thomas,Brown,expert
Casey,Evans,beginner
Scott,Mullins,expert
Heather,Garcia,intermediate
David,Gallegos,expert
Jessica,Clark,beginner
Kimberly,Khan,expert
Jennifer,Bell,expert
Steven,Cox,expert
Ryan,Mitchell,intermediate
Hannah,Lang,intermediate
Emily,Rodriguez,beginner
John,Lambert,expert
Michael,Davila,beginner
Robert,Hernandez,expert
Maxwell,Gonzales,beginner
Cindy,Mason,expert
Crystal,Cox,expert
Jenna,Yang,expert
Vanessa,Sanchez,expert
Philip,Fuller,beginner
Mark,Shaw,intermediate
Judy,Mcintosh,beginner
Michael,Chung,expert
Amy,Rose,beginner
Anna,Kane,expert
Karen,Jones,expert
Beverly,Davis,intermediate
Matthew,Morales,expert
Nicole,Yu,beginner
Lisa,Acevedo,beginner
Christopher,Mayo,expert
Peggy,Johnson,intermediate
Gina,Mcdaniel,expert
Elizabeth,Johnson,expert
Nancy,Flores,expert
Maria,Woods,expert
Cynthia,Ward,expert
Sydney,Alexander,intermediate
Danielle,Young,beginner
Teresa,Reynolds,beginner
Lisa,Park,expert
Christine,Shaffer,intermediate
Elizabeth,Rodriguez,beginner
William,Hicks,beginner
Cynthia,Larsen,beginner
Marcus,Alexander,intermediate
Edwin,Everett,intermediate
Ronnie,Vaughan,expert
Sandra,Villegas,expert
Linda,Nash,intermediate
Brandon,Andrade,intermediate
Roy,Obrien,intermediate
Charlene,Bailey,intermediate
Amanda,George,beginner
Randy,York,beginner
April,Miller,beginner
Cameron,Obrien,beginner
Bryan,Williams,expert
Shannon,Hansen,expert
Susan,Barton,beginner
Jacob,Young,beginner
Alison,Mitchell,intermediate
Michael,Moore,beginner
Jeffrey,Lawrence,beginner
Amber,Buchanan,beginner
Holly,Miranda,intermediate
Amy,Smith,beginner
John,Gonzalez,beginner
Whitney,Schultz,beginner
Benjamin,Sloan,beginner
Eric,Roth,intermediate
Maxwell,Liu,beginner
Steven,Herrera,expert
Brenda,Santana,expert
Mary,Alexander,expert
James,Williams,intermediate
Joseph,Jones,beginner
Jacob,Snyder,intermediate
Jill,Nguyen,intermediate
Melissa,Wilson,beginner
Jose,Knapp,intermediate
Lori,Powell,intermediate
Kimberly,Lowe,intermediate
Julie,Meyers,intermediate
Lisa,Francis,beginner
Arthur,Martin,beginner
Melinda,Johnson,intermediate
Hector,Schultz,beginner
Mary,Lawson,intermediate
Christian,Pittman,expert
Travis,Mckee,beginner
William,Griffin,expert
Mary,Chapman,expert
Abigail,Kemp,expert
Larry,Young,intermediate
Tyler,Preston,intermediate
Kevin,Dominguez,expert
Jonathan,Campbell,intermediate
Richard,Anderson,expert
Isabel,Wilson,expert
Colton,Martinez,beginner
Paula,Carrillo,intermediate
Amy,Gutierrez,expert
Martha,Bradley,intermediate
Mathew,Page,beginner
Ashley,Pearson,intermediate
Lori,Simmons,expert
James,Jones,intermediate
Karen,Johnson,intermediate
Anthony,Chen,intermediate
Lori,Stone,expert
Bruce,Stephens,beginner
John,Phillips,expert
Martha,Davis,intermediate
Linda,Clark,beginner
Renee,Yang,beginner
Andrea,Miller,intermediate
Kayla,King,intermediate
Jay,Mullins,beginner
Joseph,Marks,beginner
Brittany,King,expert
Thomas,Bowen,beginner
Nathaniel,Brown,intermediate
Patrick,Johnson,intermediate
Kevin,Williams,beginner
Ashley,Le,expert
Robert,Adams,expert
Alicia,Morales,beginner
Breanna,Ward,beginner
Sally,Schmidt,beginner
Lisa,Love,expert
Paul,Reyes,expert
Brandon,Nguyen,expert
Brandon,Cherry,beginner
Kenneth,Curry,expert
Sarah,Dominguez,beginner
Becky,Schneider,beginner
Rhonda,Ward,expert
Michael,Romero,beginner
Natasha,Anderson,beginner
Michael,Frank,expert
Justin,Hodges,beginner
John,Morgan,intermediate
Erin,Pratt,beginner
Donald,Dawson,intermediate
Ryan,Haynes,intermediate
Taylor,Pham,intermediate
Cynthia,Moore,beginner
Melissa,Hamilton,expert
Karen,Hawkins,beginner
Jeffrey,Lopez,expert
Brad,Lawrence,intermediate
Eric,Mitchell,intermediate
Charles,Manning,beginner
Laura,Roberts,beginner
Grant,Bates,intermediate
Lisa,Glover,intermediate
Thomas,Castillo,beginner
Brian,Phillips,intermediate
Gary,Barr,expert
Melissa,Farmer,beginner
John,Thompson,expert
Jerry,Armstrong,intermediate
Michele,Allen,beginner
Madison,Russell,intermediate
Wesley,Hughes,expert
Jacob,Vasquez,expert
Nicole,Garcia,expert
Allison,Foster,expert
Mandy,Gibson,expert
Karen,Thomas,intermediate
Rachel,Bautista,expert
Tami,Richardson,beginner
Jason,Russo,intermediate
Tina,Craig,expert
Robert,White,expert
Peter,Flynn,intermediate
Nicholas,Pena,intermediate
Erik,Rodriguez,intermediate
Breanna,Walker,beginner
Jeffrey,Moore,beginner
Christine,Andrews,expert
Edward,Smith,intermediate
Victoria,Clark,beginner
Whitney,Hebert,beginner
Frank,Quinn,intermediate
Andrew,Mendoza,intermediate
Eric,Becker,beginner
William,Huang,expert
Robert,Lopez,expert
Anne,Nguyen,expert
Courtney,Blackburn,beginner
Virginia,Williams,beginner
John,Hawkins,intermediate
Brianna,Johnson,expert
Kathy,Lopez,beginner
Sara,Woods,intermediate
Courtney,Mcdonald,expert
Elizabeth,King,intermediate
Harold,Maynard,expert
Austin,Curry,beginner
Darren,Cooper,beginner
Carolyn,Galvan,expert
Christopher,Miller,beginner
Kevin,Peterson,beginner
Jessica,Le,intermediate
Anthony,Reilly,expert
Veronica,Riley,intermediate
Kimberly,Mcpherson,expert
Austin,Rice,expert
Dillon,Mitchell,expert
Kristina,Williams,beginner
Ricky,Larson,expert
Elizabeth,King,beginner
Elizabeth,Wood,intermediate
Melissa,Ramsey,beginner
Amy,Nguyen,intermediate
James,Lyons,beginner
Penny,Reynolds,expert
Tyler,Gonzalez,beginner
Denise,Whitaker,beginner
Kevin,Green,beginner
Alyssa,Hodges,beginner
Fernando,Thompson,beginner
Kevin,Chang,intermediate
Morgan,Blankenship,intermediate
Kelsey,Lopez,beginner
Mark,Sherman,expert
Kelly,Howell,intermediate
David,Mcdonald,intermediate
Cindy,Wright,expert
Kenneth,Goodwin,expert
Monique,Steele,intermediate
Steven,Evans,beginner
Timothy,Hernandez,expert
Colleen,Harris,expert
Matthew,Lewis,beginner
Natalie,Atkinson,beginner
Debra,Hayes,expert
Jody,Hernandez,intermediate
Diana,Bell,beginner
Karen,Clayton,expert
Carl,Horne,intermediate
Nancy,Craig,intermediate
David,Hansen,expert
Ashley,Wells,intermediate
Leslie,Mcdonald,intermediate
Katherine,Hester,expert
Matthew,Mejia,beginner
Jessica,Neal,beginner
Daniel,Ruiz,beginner
Matthew,Harris,beginner
Rebecca,Barr,beginner
Eric,Robinson,expert
Thomas,York,beginner
Matthew,Kaufman,beginner
Terri,Lee,intermediate
Anthony,Vega,beginner
Spencer,Allison,expert
Lauren,Moon,intermediate
Barbara,Montgomery,beginner
Tami,Lamb,expert
Stephanie,Adams,intermediate
John,Graham,beginner
Thomas,Martin,beginner
Sarah,Wilkerson,beginner
Jennifer,Hicks,intermediate
Jason,Hernandez,expert
Tammy,Ramirez,beginner
Barbara,Barber,beginner
David,Campos,beginner
Greg,Phillips,beginner
Sarah,Hood,beginner
Troy,Santos,expert
Kelly,Brown,intermediate
Elizabeth,Reynolds,intermediate
Gabriel,Smith,expert
Stephen,Gonzalez,beginner
Sarah,Collins,intermediate
Peter,Payne,beginner
William,Conley,intermediate
Christine,Harris,expert
Nicholas,Williams,intermediate
Jerry,Miller,expert
Heather,Lewis,intermediate
Logan,Hicks,beginner
Walter,Perry,beginner
Cindy,Butler,intermediate
John,Wright,expert
Christy,Medina,expert
Michelle,Blake,intermediate
Jonathan,Weiss,beginner
Pamela,Price,expert
Evan,Martin,expert
Jessica,Lewis,beginner
Jacob,Hall,expert
Gregory,Marshall,expert
Rebecca,Franklin,expert
Lisa,Wilcox,beginner
Laurie,Rose,beginner
Paul,Crane,expert
Victor,Morales,beginner
Matthew,Young,beginner
Kendra,Smith,beginner
Henry,Pena,expert
Leah,Reed,intermediate
Nicole,Garcia,beginner
Stephanie,Lopez,intermediate
Michael,Mccoy,expert
Julie,Sandoval,intermediate
Tiffany,Kline,beginner
Sara,Hanson,intermediate
Joseph,Smith,intermediate
Joshua,Johnson,expert
Sherry,Phillips,expert
Blake,Fitzpatrick,expert
Tammy,Johnston,beginner
Jennifer,Kemp,intermediate
Patrick,Velazquez,intermediate
Steven,Mccoy,expert
Russell,Johnson,intermediate
Christopher,Wallace,beginner
Jacob,Wells,expert
Michael,Williams,beginner
Carolyn,Lambert,intermediate
Mark,Weaver,expert
Stephanie,Garcia,beginner
Melissa,Mcdonald,beginner
Matthew,Harris,intermediate
Gabriel,Hampton,beginner
Bobby,Patton,beginner
Michael,House,expert
Michael,Bowman,intermediate
Caitlin,Austin,intermediate
Patrick,Campos,expert
Daniel,Clayton,intermediate
April,Parrish,intermediate
Dawn,Walker,beginner
Michael,Reed,expert
Laura,Rhodes,expert
Tara,Rogers,expert
Daniel,Jimenez,expert
Richard,Harrington,intermediate
Michael,Moore,beginner
Walter,James,intermediate
Todd,Franklin,beginner
Daniel,Rodriguez,expert
Stephanie,Norton,intermediate
Angela,Bryant,intermediate
Susan,Alvarez,intermediate
Nicole,Garcia,intermediate
Randy,Rivas,intermediate
Melissa,Hall,expert
Danielle,Pratt,expert
Xavier,Glover,intermediate
Karen,Stout,intermediate
Philip,Wilcox,intermediate
Meghan,Hernandez,beginner
Thomas,Martinez,beginner
Joshua,Kelly,expert
Thomas,Cook,intermediate
Jason,Massey,expert
Joseph,Byrd,expert
Charles,Stone,expert
Robert,Rice,intermediate
James,Cooper,expert
Katie,Gray,expert
Steven,Ortiz,expert
Abigail,Robbins,intermediate
Shawn,Murphy,beginner
Jeffrey,Barnes,beginner
Kevin,Meyer,intermediate
Patricia,Jones,expert
Lisa,Gentry,beginner
Ashley,Alvarez,intermediate
David,Murphy,expert
Brandon,Johnson,expert
Steven,Jimenez,expert
Brent,Wilson,beginner
Julie,Wong,intermediate
Rachel,Hamilton,beginner
Pamela,Bell,expert
Peter,Hayes,intermediate
Susan,Baker,beginner
Jeffrey,Wu,intermediate
Herbert,Henderson,intermediate
Jonathan,Tapia,expert
Heidi,Garrison,intermediate
Tara,Rojas,beginner
Thomas,May,intermediate
Christopher,Thomas,expert
Tyler,Church,expert
Timothy,Taylor,expert
Adam,Mcdaniel,beginner
Joel,Marshall,beginner
Daniel,Arnold,beginner
Chelsea,Collins,intermediate
Michael,Sims,intermediate
Alicia,Mathis,beginner
Anthony,Perry,intermediate
Glenda,Scott,beginner
Christian,Mays,beginner
Erin,Gomez,intermediate
Crystal,Bean,beginner
Brendan,Hamilton,intermediate
Carla,Patterson,intermediate
Melinda,Farley,beginner
Nathan,Holloway,intermediate
Victoria,Rosales,expert
Justin,Moore,expert
Troy,Crane,intermediate
Beverly,Jones,expert
Abigail,Mahoney,intermediate
Stephen,Mason,expert
John,Murphy,expert
Tara,Wolf,expert
Jennifer,Mason,expert
Rebecca,Byrd,beginner
Tina,Fletcher,intermediate
Matthew,Chapman,intermediate
Christopher,Robinson,intermediate
Lisa,Phillips,expert
Christopher,Watson,expert
Mark,Gonzalez,intermediate
Tina,Leonard,intermediate
Gary,Robertson,intermediate
Peter,Ferrell,beginner
Ernest,Russo,beginner
Christine,Davis,expert
Jane,Schmidt,beginner
Lawrence,Ruiz,expert
Sarah,Moreno,intermediate
Sara,Morales,expert
Ian,Chang,beginner
Miranda,Brown,expert
Brian,Foster,intermediate
Mary,Shaw,beginner
Ian,Torres,beginner
Kenneth,Freeman,expert
Russell,Bailey,expert
Andrea,Rodriguez,intermediate
Jordan,Adams,beginner
Paul,Martinez,beginner
Thomas,Watts,expert
Stacey,Kidd,expert
Christina,Mills,beginner
Caleb,Brady,beginner
Chad,Wilson,intermediate
Andrew,Bryant,beginner
Robert,Carlson,intermediate
Edward,Terry,expert
Jeffrey,Goodwin,beginner
Whitney,Cummings,intermediate
Marvin,Sanchez,intermediate
Ashley,Tran,intermediate
Sheri,Taylor,beginner
Emily,Gallagher,beginner
Clayton,Oneal,beginner
Andrew,Thompson,intermediate
Rhonda,Stone,expert
Eric,Weeks,expert
Trevor,Gonzalez,beginner
Nicole,Howard,beginner
Paige,Miller,intermediate
Kelly,Potter,expert
Wendy,Perez,beginner
Nancy,Nolan,beginner
Mike,Rodriguez,beginner
Ashley,Ellison,expert
Dustin,Medina,intermediate
Heather,Sanchez,expert
James,Smith,intermediate
Trevor,Carey,beginner
Carl,Howell,beginner
Jason,Ramirez,expert
Brandi,Meadows,intermediate
Gina,Gardner,beginner
Karen,Blankenship,beginner
Bethany,Holt,intermediate
Linda,Strickland,beginner
Kevin,Perez,beginner
Hannah,Lambert,intermediate
Michael,Santos,intermediate
Brent,Daugherty,expert
Zachary,Kemp,beginner
Edwin,Ross,expert
Keith,Rowland,intermediate
Travis,Mathews,beginner
Linda,Moss,intermediate
Jeffrey,Fischer,intermediate
Leslie,Rodriguez,beginner
Dakota,Duran,beginner
Kimberly,Miller,beginner
Joy,Kirk,expert
Julie,Warren,expert
Jonathan,Brown,beginner
Stephanie,Arnold,intermediate
